VARIABLES = X, Y, Z, VX, VY, VZ, PRESS, OBST
ZONE I= 128, J= 128, K= 128 F=POINT
61 4 32 0.028507 -0.000420 0.020907 0.033092 0
62 4 32 0.027172 -0.000406 0.020067 0.033102 0
63 4 32 0.025946 -0.000385 0.019191 0.033110 0
64 4 32 0.024862 -0.000366 0.018301 0.033119 0
65 4 32 0.023916 -0.000348 0.017431 0.033129 0
66 4 32 0.023069 -0.000325 0.016580 0.033139 0
67 4 32 0.022294 -0.000301 0.015752 0.033149 0
68 4 32 0.021601 -0.000280 0.014959 0.033159 0
69 4 32 0.020988 -0.000260 0.014207 0.033169 0
70 4 32 0.020428 -0.000240 0.013487 0.033179 0
71 4 32 0.019910 -0.000221 0.012802 0.033189 0
72 4 32 0.019443 -0.000204 0.012153 0.033198 0
73 4 32 0.019016 -0.000190 0.011539 0.033208 0
74 4 32 0.018617 -0.000177 0.010955 0.033217 0
75 4 32 0.018244 -0.000165 0.010400 0.033227 0
76 4 32 0.017899 -0.000156 0.009874 0.033236 0
77 4 32 0.017574 -0.000148 0.009375 0.033246 0
78 4 32 0.017265 -0.000141 0.008899 0.033255 0
79 4 32 0.016973 -0.000136 0.008447 0.033265 0
80 4 32 0.016697 -0.000131 0.008017 0.033274 0
81 4 32 0.016435 -0.000127 0.007608 0.033284 0
82 4 32 0.016187 -0.000124 0.007217 0.033293 0
83 4 32 0.015952 -0.000120 0.006844 0.033302 0
